@relation 'train_cab-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute num_words_more_3_syl numeric
@attribute honore numeric
@attribute mean_np_per_sentence numeric
@attribute verb_phrase_density_incidence numeric
@attribute flesch numeric
@attribute similarity_pairs_par_std numeric
@attribute similarity_adjacent_par_std numeric
@attribute polysemic_index numeric
@attribute mean_distinct_rare numeric
@attribute words_length_no_stopwords_std numeric
@attribute num_paragraphs_incidence numeric
@attribute num_subord_incidence numeric
@attribute adversative_connectives_incidence numeric
@attribute num_rare_adj_incidence numeric
@attribute num_dif_rare_words_incidence numeric
@attribute simple_ttr numeric
@attribute lemma_ttr numeric
@attribute ratio_proper_nouns_per_nouns numeric
@attribute content_overlap_all_mean numeric
@attribute level {0,1}

@data
126,1240.2679,2.6875,160,76.5803,0.1414,0.1073,4.4109,42.7252,2.2685,40.8696,50.4348,15.6522,33.0435,160.8696,0.4722,0.5217,0.0989,0.0062,1
59,951.5317,5.3784,141.6058,74.0876,0.0857,0.0418,4.6061,30,2.2057,21.8978,70.073,13.1387,21.8978,87.5912,0.4409,0.5022,0.3741,0.0136,1
21,864.8974,5.4286,219.2308,72.2818,0.1057,0,5.0625,26.1682,2.9575,7.6923,119.2308,7.6923,7.6923,107.6923,0.5923,0.6269,0.1481,0.0118,0
16,797.1514,5.6111,179.4872,80.6985,0.0687,0,4.5833,15.0442,2.4019,6.4103,99.359,35.2564,3.2051,54.4872,0.5224,0.5577,0.0147,0.0166,0
28,1112.4764,5.6923,196.6527,65.8283,0.0644,0,4.6038,23.7624,2.6404,8.3682,100.4184,37.6569,12.5523,100.4184,0.6067,0.6987,0.0702,0.0192,0
15,878.9478,4.5,184.2105,72.6814,0.0915,0,4.625,23.9437,3.1936,10.5263,84.2105,5.2632,26.3158,89.4737,0.5684,0.7316,0.3171,0.013,0
16,1013.194,6.1875,187.5,77.1275,0.084,0,5.3012,21.0938,2.1067,6.25,106.25,6.25,18.75,84.375,0.5687,0.6031,0,0.0173,0
58,863.7698,7.2973,163.6798,72.4398,0.0732,0.0709,3.5463,28.8,2.1179,27.4791,93.19,14.3369,15.5317,86.0215,0.3955,0.4349,0,0.0283,1
80,782.4782,4.1064,187.8613,72.5158,0.0931,0.0902,5.2099,26.9036,2.2021,36.1272,85.2601,11.5607,21.6763,76.5896,0.3902,0.4422,0.0469,0.0226,1
58,1066.9812,6.2083,172.043,64.1098,0.1086,0.1267,4.5517,31.2169,2.3564,45.1613,107.5269,4.3011,32.2581,126.8817,0.5419,0.5677,0,0.0203,1
69,1281.6676,6.5714,156.8123,68.1,0.0853,0.0393,4.4444,24.3506,2.1511,14.1388,97.6864,16.7095,21.8509,96.401,0.5129,0.5887,0.0412,0.0112,1
53,871.631,4.3333,188.0734,76.9792,0.0844,0.0454,4.592,20.098,2.3043,36.6972,87.156,18.3486,6.1162,62.6911,0.445,0.4985,0.1832,0.0205,1
